SketchID,UserID,File,ShapeID,StrokeID,ShapeName,ShapeTime,StrokeTime,IsConsecutive,AveragePressure,Width,Height,AvgCurvature,MaxCurvature,MinCurvature,NumPoints,MinDist
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,e3afbe85-8e4d-4d61-b315-f2de68c52b0c,6b56f92d-06ef-401a-85d2-7fb230a7d219,Wire,150,150,TRUE,129,1287,61,0.033052193,0.200396041,0.004895789,21,38.05259518
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,5b978b0f-d91b-4f8e-9e63-3dd12edab2f0,fc519377-33a1-43d9-828a-d92ed06b15a1,Wire,135,135,TRUE,125,1097,90,0.02788226,0.061182192,0.005492858,19,27.45906044
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,be7a6aa0-fb81-49fc-be6e-efe29eb580f2,822ab35f-58e7-405c-9619-77f39acfece9,AND,564,173,TRUE,146,564,1039,0.115530898,0.486896217,0.000620007,24,27.45906044
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,be7a6aa0-fb81-49fc-be6e-efe29eb580f2,3c83fbdf-de48-44bc-8948-25109336470b,AND,564,241,TRUE,154,564,1039,0.101981253,0.618456567,0.089587209,33,27.45906044
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,bacb3173-be1e-42ef-958d-3b09ac54d008,923605e3-e31c-4f8e-9002-d7dbc54b9dc0,Wire,165,165,TRUE,152,1136,111,0.034081126,0.144557545,0.000243472,23,38.27531842
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,a85c46e6-11cd-49b7-9c18-bdd6b640278e,d70b818b-b118-4dbe-a07d-9fc9c8311b71,Wire,135,135,TRUE,132,1154,34,0.015270679,0.0954345,0.000376276,19,17.4642492
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,ecf19e7b-224d-40b6-b6c3-9501e2ff43ee,2af9f44b-1149-4691-b97e-50e5b34f607d,Wire,135,135,TRUE,122,1088,127,0.018899897,0.100953253,0.00224753,19,18.02775638
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,6e50d1b9-96f6-4b29-a823-41f29aaed341,ebdf4d83-c645-43e2-a240-b4761f640754,AND,517,173,TRUE,146,678,988,0.070206621,0.388557828,0.003282734,24,17.4642492
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,6e50d1b9-96f6-4b29-a823-41f29aaed341,3ab72b43-d088-4b06-8e9c-2abb0e37c024,AND,517,233,TRUE,145,678,988,0.110600375,0.872518038,0.073769079,32,17.4642492
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,c31f4856-4122-4c91-a4e9-b839a4fc23d1,4229630b-3cd1-4db0-a4d7-d0393d16d7ad,Wire,188,188,TRUE,155,1167,47,0.004852777,0.050159971,8.64E-05,26,23.34523506
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,87c7f332-8112-480c-b3ae-f5153353e726,e092b17a-b354-4ee0-b50b-c9f0f5250def,Wire,143,143,TRUE,142,1175,40,0.061950872,0.509017059,0.002405131,20,20.24845673
ca621e8b-5553-401c-bbe5-6d3616e73ccc,1,AND,c3130176-5ed2-48a6-8d0c-168840fe2891,08ff0a19-e6b1-4de5-a218-4f03c85c06f6,Wire,120,120,TRUE,137,1117,120,0.009770522,0.018507072,6.62E-05,17,13.60147051
